gameid,leagid,leagyear,weeknum,gamedate,awayid,atmloc,aconfid,aconf,adivid,adivname,homeid,htmloc,hconfid,hconf,hdivid,hdivname,ascore,hscore,spread,ou,totalou,favid,dogid,winteamid,loseteamid,isconf,isdiv,ot,so,lineoutcomeid,lineoutcome,totaloutcomeid,totaloutcome,siteloc,gametypeid
1202479,1,2024,6,2024-10-10 00:00:00,56,San Francisco,6,National,14,West,67,Seattle,6,National,14,West,36,24,3.5,49.5,60.0,56,67,56,67,1,1,0,0,3,favorite win and cover,6,over,1,1
1202480,1,2024,6,2024-10-13 00:00:00,25,Jacksonville,7,American,8,South,77,Chicago,6,National,4,North,16,35,2.0,44.5,51.0,77,25,77,25,0,0,0,0,3,favorite win and cover,6,over,2,1
1202481,1,2024,6,2024-10-13 00:00:00,45,Arizona,6,National,14,West,3,Green Bay,6,National,4,North,13,34,5.5,47.5,47.0,3,45,3,45,1,0,0,0,3,favorite win and cover,5,under,1,1
1202482,1,2024,6,2024-10-13 00:00:00,24,Indianapolis,7,American,8,South,26,Tennessee,7,American,8,South,20,17,2.5,43.0,37.0,26,24,24,26,1,1,0,0,2,dog win and cover,5,under,1,1
1202483,1,2024,6,2024-10-13 00:00:00,22,Houston,7,American,8,South,11,New England,7,American,5,East,41,21,6.5,37.5,62.0,22,11,22,11,1,0,0,0,3,favorite win and cover,6,over,1,1
1202484,1,2024,6,2024-10-13 00:00:00,8,Tampa Bay,6,National,8,South,7,New Orleans,6,National,8,South,51,27,3.5,42.0,78.0,8,7,8,7,1,1,0,0,3,favorite win and cover,6,over,1,1
1202485,1,2024,6,2024-10-13 00:00:00,20,Cleveland,7,American,4,North,1,Philadelphia,6,National,5,East,16,20,8.5,42.5,36.0,1,20,1,20,0,0,0,0,4,dog cover | favorite win,5,under,1,1
1202486,1,2024,6,2024-10-13 00:00:00,34,Washington,6,National,5,East,18,Baltimore,7,American,4,North,23,30,6.5,51.5,53.0,18,34,18,34,0,0,0,0,3,favorite win and cover,6,over,1,1
1202487,1,2024,6,2024-10-13 00:00:00,17,Los Angeles-A,7,American,14,West,14,Denver,7,American,14,West,23,16,3.0,35.5,39.0,17,14,17,14,1,1,0,0,3,favorite win and cover,6,over,1,1
1202488,1,2024,6,2024-10-13 00:00:00,21,Pittsburgh,7,American,4,North,16,Las Vegas,7,American,14,West,32,13,3.0,36.5,45.0,21,16,21,16,1,0,0,0,3,favorite win and cover,6,over,1,1
1202489,1,2024,6,2024-10-13 00:00:00,2,Detroit,6,National,4,North,12,Dallas,6,National,5,East,47,9,3.0,52.5,56.0,2,12,2,12,1,0,0,0,3,favorite win and cover,6,over,1,1
1202490,1,2024,6,2024-10-13 00:00:00,5,Atlanta,6,National,8,South,6,Carolina,6,National,8,South,38,20,6.0,46.5,58.0,5,6,5,6,1,1,0,0,3,favorite win and cover,6,over,1,1
1202491,1,2024,6,2024-10-13 00:00:00,19,Cincinnati,7,American,4,North,23,New York-N,6,National,5,East,17,7,3.5,47.0,24.0,19,23,19,23,0,0,0,0,3,favorite win and cover,5,under,1,1
